# Gaia DR3 passband G (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.G
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
7790.0000,5.95929448e-01
7800.0000,5.92399976e-01
7810.0000,5.89922928e-01
7820.0000,5.88498932e-01
7830.0000,5.86177867e-01
7840.0000,5.82739383e-01
7850.0000,5.79941538e-01
7860.0000,5.77515441e-01
7870.0000,5.74941869e-01
7880.0000,5.72573190e-01
7890.0000,5.70267159e-01
7900.0000,5.67402553e-01
7910.0000,5.64846737e-01
7920.0000,5.62591010e-01
7930.0000,5.60125763e-01
7940.0000,5.57100029e-01
7950.0000,5.53910813e-01
7960.0000,5.51199750e-01
7970.0000,5.48455714e-01
7980.0000,5.45932611e-01
7990.0000,5.42721649e-01
8000.0000,5.39583616e-01
8010.0000,5.36476760e-01
8020.0000,5.33862789e-01
8030.0000,5.31436326e-01
8040.0000,5.28403880e-01
8050.0000,5.25122912e-01
8060.0000,5.21778073e-01
8070.0000,5.19067752e-01
8080.0000,5.15840113e-01
8090.0000,5.13186641e-01
8100.0000,5.10092228e-01
8110.0000,5.07382387e-01
8120.0000,5.03885556e-01
8130.0000,5.02115590e-01
8140.0000,4.99224107e-01
8150.0000,4.95971510e-01
8160.0000,4.91996429e-01
8170.0000,4.88823768e-01
8180.0000,4.86045767e-01
8190.0000,4.82688992e-01
8200.0000,4.79125400e-01
8210.0000,4.75897338e-01
8220.0000,4.73142654e-01
8230.0000,4.69907593e-01
8240.0000,4.66919323e-01
8250.0000,4.63232702e-01
8260.0000,4.59884631e-01
8270.0000,4.56889113e-01
8280.0000,4.53346951e-01
8290.0000,4.50045780e-01
8300.0000,4.47393833e-01
8310.0000,4.44309807e-01
8320.0000,4.41085939e-01
8330.0000,4.38000883e-01
8340.0000,4.35105537e-01
8350.0000,4.32121809e-01
8360.0000,4.28620861e-01
8370.0000,4.24482653e-01
8380.0000,4.21066579e-01
8390.0000,4.18041166e-01
8400.0000,4.14784905e-01
8410.0000,4.10985509e-01
8420.0000,4.07626467e-01
8430.0000,4.04648726e-01
8440.0000,4.02525287e-01
8450.0000,3.98521565e-01
8460.0000,3.94418335e-01
8470.0000,3.90756327e-01
8480.0000,3.87320969e-01
8490.0000,3.84182575e-01
8500.0000,3.80351910e-01
8510.0000,3.77177090e-01
8520.0000,3.74020127e-01
8530.0000,3.70148583e-01
8540.0000,3.66996318e-01
8550.0000,3.64135266e-01
8560.0000,3.60849931e-01
8570.0000,3.57884173e-01
8580.0000,3.53910876e-01
8590.0000,3.49887801e-01
8600.0000,3.47263747e-01
8610.0000,3.43570151e-01
8620.0000,3.41020516e-01
8630.0000,3.37872504e-01
8640.0000,3.34147192e-01
8650.0000,3.30135408e-01
8660.0000,3.27489043e-01
8670.0000,3.23644477e-01
8680.0000,3.18944273e-01
8690.0000,3.16843391e-01
8700.0000,3.13995072e-01
8710.0000,3.10184285e-01
8720.0000,3.06793674e-01
8730.0000,3.04739258e-01
8740.0000,3.01508837e-01
8750.0000,2.97823400e-01
8760.0000,2.94744663e-01
8770.0000,2.91236311e-01
8780.0000,2.87749108e-01
8790.0000,2.83898442e-01
8800.0000,2.80491684e-01
8810.0000,2.77753035e-01
8820.0000,2.74883831e-01
8830.0000,2.71422986e-01
8840.0000,2.67856627e-01
8850.0000,2.64606752e-01
8860.0000,2.61455674e-01
8870.0000,2.58601267e-01
8880.0000,2.56050390e-01
8890.0000,2.52764468e-01
8900.0000,2.49470941e-01
8910.0000,2.46164578e-01
8920.0000,2.42695811e-01
8930.0000,2.39475017e-01
8940.0000,2.36928652e-01
8950.0000,2.33626713e-01
8960.0000,2.30619554e-01
8970.0000,2.27896049e-01
8980.0000,2.24587600e-01
8990.0000,2.21176759e-01
9000.0000,2.18314877e-01
9010.0000,2.15486395e-01
9020.0000,2.12462553e-01
9030.0000,2.09351058e-01
9040.0000,2.06526022e-01
9050.0000,2.03620957e-01
9060.0000,2.00906225e-01
9070.0000,1.97864533e-01
9080.0000,1.95053221e-01
9090.0000,1.92552590e-01
9100.0000,1.89578109e-01
9110.0000,1.86409222e-01
9120.0000,1.83406018e-01
9130.0000,1.80697640e-01
9140.0000,1.78273497e-01
9150.0000,1.75677222e-01
9160.0000,1.72996955e-01
9170.0000,1.70346904e-01
9180.0000,1.67375209e-01
9190.0000,1.64513615e-01
9200.0000,1.62072087e-01
9210.0000,1.59580389e-01
9220.0000,1.56851728e-01
9230.0000,1.54259129e-01
9240.0000,1.51670819e-01
9250.0000,1.49021982e-01
9260.0000,1.46366087e-01
9270.0000,1.43985377e-01
9280.0000,1.41630826e-01
9290.0000,1.39368431e-01
9300.0000,1.37119296e-01
9310.0000,1.34531623e-01
9320.0000,1.32145238e-01
9330.0000,1.29818524e-01
9340.0000,1.27475437e-01
9350.0000,1.25125476e-01
9360.0000,1.22937568e-01
9370.0000,1.20711798e-01
9380.0000,1.18314345e-01
9390.0000,1.16018797e-01
9400.0000,1.13758622e-01
9410.0000,1.11693532e-01
9420.0000,1.09615906e-01
9430.0000,1.07402656e-01
9440.0000,1.05374647e-01
9450.0000,1.03239456e-01
9460.0000,1.01061930e-01
9470.0000,9.90179458e-02
9480.0000,9.70876723e-02
9490.0000,9.50985582e-02
9500.0000,9.31891382e-02
9510.0000,9.12931456e-02
9520.0000,8.95365374e-02
9530.0000,8.76406868e-02
9540.0000,8.58260089e-02
9550.0000,8.38964310e-02
9560.0000,8.18011580e-02
9570.0000,8.01260722e-02
9580.0000,7.84905076e-02
9590.0000,7.67571241e-02
9600.0000,7.49832850e-02
9610.0000,7.32033366e-02
9620.0000,7.14271926e-02
9630.0000,6.97384298e-02
9640.0000,6.81054818e-02
9650.0000,6.65621078e-02
9660.0000,6.50566774e-02
9670.0000,6.35366549e-02
9680.0000,6.19414516e-02
9690.0000,6.03444134e-02
9700.0000,5.88194970e-02
9710.0000,5.72842491e-02
9720.0000,5.58320087e-02
9730.0000,5.44731256e-02
9740.0000,5.31892434e-02
9750.0000,5.18819276e-02
9760.0000,5.04960013e-02
9770.0000,4.91043518e-02
9780.0000,4.77397242e-02
9790.0000,4.64290407e-02
9800.0000,4.51523186e-02
9810.0000,4.39537936e-02
9820.0000,4.27842864e-02
9830.0000,4.16059976e-02
